Id,Name,Age,Email,Join_Date,Salary,Department
0008fab3-6dd9-4c36-8ea1-183d8dbd9228,Kevin,61,nancyortega@gmail.com,2021-10-19,139842.0,Engineering
000ea181-5552-4a36-b151-1d57483b5a31,Natalie,27,aliciawright@yahoo.com,2021-05-22,56616.0,Support
000ebe72-241a-4c74-9bd5-f0b1c0195760,Felicia,74,mlewis@hotmail.com,1983-09-06,62610.0,HR
002a244f-c467-4bec-9ab9-0eea2d1e3626,Travis,84,gmedina@wilson-scott.com,2020-02-17,49203.0,HR
003c7fd4-950e-4b77-b5f8-d7ba82442be2,Catherine,43,emily98@delgado.info,2022-04-04,73783.0,Unknown
003cece6-e9cb-4236-a180-1b88ed6572d4,Unknown,34,sbryant@scott.info,2022-10-11,33037.19,Sales
0046a36f-075e-4ebc-81e4-f3edfcb9106c,Jimmy,25,timothycunningham@martin.com,2021-08-31,32688.0,Engineering
0053781e-61aa-423e-ae39-adc1ee24f24c,Ronald,43,chelsea56@richardson.com,2022-02-01,140100.0,Marketing
00566a37-cbec-4389-9ae9-8f55cac914cd,Connor,75,catherinegraham@hotmail.com,2023-03-19,91365.0,Unknown
006b89a6-e51c-42b9-baac-ab7e476b53aa,Unknown,54,kennethpark@hall.com,2023-03-30,100970.61,HR
0072da89-71b4-4ae9-b59d-9e77fec1f2bc,Molly,46,randy92@mckay.com,1999-09-11,65655.0,Unknown
00735eb0-1a59-48af-8563-5a2c067717cd,Heather,31,eowens@gardner.com,1989-06-11,92881.86,Marketing
0074dbd5-10d0-463f-9b10-d8473bea04ba,Unknown,22,ericjohnson@castillo-mendez.net,2023-01-03,88431.0,HR
00793135-7451-414b-90c1-a542072d2e6e,Brandon,59,nathaniel66@yahoo.com,2022-10-04,106864.0,Unknown
007c0c99-5440-4028-a144-6afdb52487a9,Unknown,37,jacobrivera@yahoo.com,1972-11-14,111714.0,HR
00908da4-f2d2-4189-bb9c-72929a6c1fcf,Tamara,59,qodonnell@murphy.net,1972-11-14,74575.0,Support
0093ebe5-6af6-43f6-8cb3-2e8980d81e4a,Shannon,64,mschultz@horne-robles.com,2022-04-19,56941.0,Engineering
00965530-ece8-4ac3-bd3f-201fa1b5d406,Lindsay,88,jacobpitts@peters.org,2021-09-10,92817.0,Unknown
00ac2b1c-dcc9-4e5f-a72a-b5c5e0fe092e,Tammy,83,vaughnmatthew@moyer-walton.com,1991-08-13,63500.0,Marketing
00ae991e-7eac-4408-928f-ef7bb20276fe,Kara,88,jenniferpitts@gmail.com,2020-12-02,54418.0,Engineering
00bbcbdf-b232-4eaf-bbd5-19abc9bac992,Jeffrey,40,glucas@hotmail.com,2020-12-02,33381.0,HR
00cbba4c-3155-4be5-90bb-f8a9d181fceb,Jonathan,78,james53@hotmail.com,1983-12-03,57521.0,Sales
00ce158a-b80a-424c-a727-591856fb5919,Unknown,26,petergreer@cole.net,2022-03-20,142729.0,Sales
00d23202-87b8-49bf-bec4-deea25ca43f4,Kelsey,41,lucerohaley@rollins.com,2022-03-20,44371.0,HR
00dd6776-5ecb-431b-89be-23f6f7b902e5,Michelle,47,harperadrian@hotmail.com,2016-03-26,148735.0,Marketing
00e1d7d8-d158-4985-bbc0-77fd8260a94d,Sandra,81,shawnbrock@webb.biz,2024-12-05,88431.0,HR
00f8bfd8-8b10-4f29-99cc-accf6c80ce2e,Amber,50,monica12@hotmail.com,2024-12-05,70872.9,Support
01120232-eebb-441d-b597-bfd3e3dc58f7,Victoria,60,patricia04@gmail.com,2021-02-14,128341.0,Support
01123c97-f62a-417e-b7b7-5fa64f0f234a,Melissa,20,sierra96@hotmail.com,2021-07-09,91130.0,Engineering
011cf560-4320-4c27-8cb4-4588e1924879,Unknown,46,devin27@wright.info,2024-05-19,40296.0,HR
0122875c-c7dd-459d-8aa8-f747ba4d366f,Michael,82,lflores@gmail.com,2024-05-19,77882.0,Marketing
0129363a-9e43-4343-9b31-a9d08ddb29b6,Richard,32,audrey89@maxwell.com,2022-07-18,148836.0,Support
